date,open,high,low,close,volume
20180920,685.2,686.9,677.36,678.55,2751948
20180921,682,700.01,680.01,700.01,4261720
20180925,695,705.77,693.26,697.02,3063991
20180926,702.1,732.68,701.99,724.93,7228777
20180927,727.5,728,715.4,724,4050853
20180928,726.7,733.2,718.88,730,3508980
20181008,715.41,719,686.15,686.15,8274502
20181009,686.9,698.71,685.9,695,4022283
20181010,697.26,698,669.69,670.92,6309820
20181011,635.01,668.94,635.01,644.99,9158196
20181012,651,672.68,650.58,668,5447256
20181015,669.49,671.95,660.03,666.9,3560730
20181016,665.98,679.53,662.01,667.14,2639360
20181017,675,677.3,649.9,665.72,4307707
20181018,660,660,644.97,645.94,5215607
20181019,638,675,635.08,670,7619938
20181022,675,702.02,675,693,7310857
20181023,689,689,635,641.74,12311273
20181024,628.11,650,620,636.99,7611282
20181025,620,622.5,608.58,619,7556838
20181026,619,625,607.98,610.1,5532738
20181029,549.09,549.09,549.09,549.09,4907600
20181030,510,543,509.02,524,20439667
20181031,527,555,522,548.9,9688482
20181101,555,585.5,551.25,563,9810672
20181102,585,600,572.24,599.9,8915696
20181105,593,593,571.77,575.8,7551708
20181106,574,574.16,558.01,566,4556614
20181107,569,574.95,562.01,566.4,3810778
20181108,574,577,568,570.34,3376374
20181109,567.22,569,562,562,2433682
20181112,553,554.2,536.8,552,6782422
20181113,546.12,570,543,570,6642905
20181114,569.96,569.96,552.55,555.1,4176683
20181115,558.8,564.8,555.5,559.7,3083340
20181116,561,566,558.03,560,2893879
20181119,560.3,572,559.11,569.02,3617925
20181120,565,568,560,561.6,2694326
20181121,554,568.9,553.68,564.7,2710730
20181122,565.15,567.33,558,564.5,2121333
20181123,564,567.3,556.9,556.9,2012621
20181126,558,560.2,552,552.11,1912019
20181127,552,554.99,546.5,548.1,2023382
20181128,550.85,559.19,545.5,557,2773793
20181129,566.03,569.8,549.01,551.6,4506945
20181130,557,568.89,553,565,4901046
20181203,589,605,584.77,601.2,8341468
20181204,602.99,604.26,595,602.23,3147388
20181205,597.5,616.5,595,610.1,4158819
20181206,600,605.98,590.36,591.8,3775807
20181207,595.6,598.86,584.7,587,2684167
20181210,576,587.5,574.18,577.23,2464068
20181211,577,586.55,577,582.99,1631660
20181212,588.79,589.2,582.8,589,1992154
